city_code,year,Meses,ICMS (**),IPVA (***),Fund.Exp-IPI (**),Comp. (*),Total,data_de_captura
1508,2018,Janeiro,"1.426.034,03","2.758.096,47","11.071,95","6.121,02","4.201.323,47",2019-10-13 02:17:06.338374
1508,2018,Fevereiro,"1.045.251,16","1.266.718,92","10.805,88","7.857,09","2.330.633,05",2019-10-13 02:17:06.338374
1508,2018,Março,"1.125.322,51","930.431,61","8.689,13","8.167,10","2.072.610,34",2019-10-13 02:17:06.338374
1508,2018,Abril,"828.263,80","253.666,66","9.349,94","6.979,80","1.098.260,21",2019-10-13 02:17:06.338374
1508,2018,Maio,"1.652.948,06","221.372,27","10.078,11","7.463,30","1.891.861,74",2019-10-13 02:17:06.338374
1508,2018,Junho,"1.094.080,56","247.825,35","9.917,79","6.946,64","1.358.770,33",2019-10-13 02:17:06.338374
1508,2018,Julho,"1.434.662,26","211.655,48","8.982,88","9.516,47","1.664.817,10",2019-10-13 02:17:06.338374
1508,2018,Agosto,"1.085.663,94","207.982,96","10.020,72","9.345,19","1.313.012,81",2019-10-13 02:17:06.338374
1508,2018,Setembro,"1.205.785,91","234.618,15","9.026,39","9.684,08","1.459.114,52",2019-10-13 02:17:06.338374
1508,2018,Outubro,"1.474.521,17","189.620,68","10.712,36","9.416,58","1.684.270,80",2019-10-13 02:17:06.338374
1508,2018,Novembro,"1.085.545,10","140.693,52","9.592,44","10.595,63","1.246.426,69",2019-10-13 02:17:06.338374
1508,2018,Dezembro,"1.292.427,14","232.528,15","10.180,54","10.875,55","1.546.011,39",2019-10-13 02:17:06.338374
